label,train_n,train_%,val_n,val_%,test_n,test_%
Atelectasis,802,10.02,1329,10.2,3279,12.81
Cardiomegaly,151,1.89,273,2.1,1069,4.18
Effusion,774,9.68,1421,10.91,4658,18.2
Infiltration,1274,15.92,2156,16.55,6112,23.88
Mass,390,4.88,588,4.51,1748,6.83
Nodule,442,5.52,756,5.8,1623,6.34
Pneumonia,72,0.9,143,1.1,555,2.17
Pneumothorax,265,3.31,417,3.2,2665,10.41
Consolidation,270,3.38,451,3.46,1815,7.09
Edema,132,1.65,209,1.6,925,3.61
Emphysema,123,1.54,251,1.93,1093,4.27
Fibrosis,124,1.55,183,1.4,435,1.7
Pleural_Thickening,172,2.15,356,2.73,1143,4.47
Hernia,14,0.18,22,0.17,86,0.34
No_Finding,4660,58.25,7362,56.52,9861,38.53
